sentiment,sentiment_confidence,entity_completeness,amenities_count,budget_amount,turn_count,message_length,score,tier,label_source,lead_features_id
frustrated,0.9363604784011841,0.75,1,,2,65,27.21,cold,heuristic_bootstrap,280
hesitant,0.9247170686721802,0.75,2,,2,61,41.65,warm,heuristic_bootstrap,77
hesitant,0.9493581056594849,1.0,2,6500000.0,2,94,74.1,hot,heuristic_bootstrap,451
frustrated,0.9351165294647217,1.0,3,6500000.0,2,70,63.81,warm,heuristic_bootstrap,614
enthusiastic,0.954856812953949,0.75,2,,2,56,53.25,warm,heuristic_bootstrap,615
enthusiastic,0.9624330401420593,0.75,2,,2,70,54.28,warm,heuristic_bootstrap,288
hesitant,0.945862889289856,0.75,1,,2,68,39.12,cold,heuristic_bootstrap,219
enthusiastic,0.9630477428436279,0.75,1,,2,68,51.15,warm,heuristic_bootstrap,283
frustrated,0.9388819336891174,0.75,1,,2,67,27.31,cold,heuristic_bootstrap,450
enthusiastic,0.9585808515548706,0.75,2,,2,53,53.1,warm,heuristic_bootstrap,83
hesitant,0.9462113380432129,1.0,1,6500000.0,2,85,70.5,hot,heuristic_bootstrap,135
hesitant,0.9462895393371582,0.75,2,,2,71,42.32,warm,heuristic_bootstrap,67
hesitant,0.9416505098342896,0.75,1,,2,70,39.25,cold,heuristic_bootstrap,171
enthusiastic,0.9619240760803223,0.75,2,,2,70,54.27,warm,heuristic_bootstrap,426
frustrated,0.955134928226471,0.75,1,,2,68,27.18,cold,heuristic_bootstrap,23
frustrated,0.9328773021697998,0.75,1,,2,63,27.12,cold,heuristic_bootstrap,589
frustrated,0.9561318159103394,0.75,3,,2,79,33.9,cold,heuristic_bootstrap,419
frustrated,0.9538938999176025,0.75,1,,2,68,27.19,cold,heuristic_bootstrap,447
hesitant,0.9426288604736328,0.75,2,,2,66,41.98,warm,heuristic_bootstrap,27
hesitant,0.9299778938293457,0.75,3,,2,63,44.78,warm,heuristic_bootstrap,536
hesitant,0.9412468075752258,1.0,2,4500000.0,2,87,73.63,hot,heuristic_bootstrap,622
hesitant,0.9333169460296631,1.0,2,8000000.0,2,63,72.03,hot,heuristic_bootstrap,259
hesitant,0.9423049688339233,0.75,1,,2,64,38.85,cold,heuristic_bootstrap,328
frustrated,0.9396303296089172,0.75,1,,2,64,27.1,cold,heuristic_bootstrap,413
frustrated,0.937286913394928,0.75,3,,2,70,33.53,cold,heuristic_bootstrap,625
enthusiastic,0.9561605453491211,0.75,2,,2,57,53.34,warm,heuristic_bootstrap,108
hesitant,0.9374682307243347,0.75,1,,2,67,39.05,cold,heuristic_bootstrap,310
hesitant,0.9455793499946594,0.75,2,,2,69,42.18,warm,heuristic_bootstrap,145
enthusiastic,0.9607541561126709,0.75,1,,2,67,51.06,warm,heuristic_bootstrap,140
enthusiastic,0.9631080031394958,1.0,2,12000000.0,2,75,84.87,hot,heuristic_bootstrap,610
frustrated,0.9349690675735474,0.75,2,,2,67,30.36,cold,heuristic_bootstrap,549
hesitant,0.946484386920929,0.75,2,,2,75,42.58,warm,heuristic_bootstrap,55
frustrated,0.9327427744865417,0.75,3,,2,59,32.86,cold,heuristic_bootstrap,576
hesitant,0.9496238827705383,1.0,1,4500000.0,2,92,70.97,hot,heuristic_bootstrap,438
hesitant,0.9431586861610413,0.75,1,,2,70,39.25,cold,heuristic_bootstrap,69
frustrated,0.9492051601409912,0.75,2,,2,59,29.65,cold,heuristic_bootstrap,54
frustrated,0.9480986595153809,1.0,1,12000000.0,2,94,59.25,warm,heuristic_bootstrap,359
hesitant,0.9411095380783081,0.75,3,,2,54,44.18,warm,heuristic_bootstrap,284
hesitant,0.9379249811172485,0.75,2,,2,61,41.65,warm,heuristic_bootstrap,355
frustrated,0.9462032914161682,0.75,1,,2,63,26.96,cold,heuristic_bootstrap,656
enthusiastic,0.9580956101417542,0.75,3,,2,64,56.83,warm,heuristic_bootstrap,314
hesitant,0.9405235052108765,0.75,2,,2,60,41.58,warm,heuristic_bootstrap,155
enthusiastic,0.9598335027694702,1.0,2,4500000.0,2,81,85.23,hot,heuristic_bootstrap,279
enthusiastic,0.960780680179596,0.75,2,,2,67,54.06,warm,heuristic_bootstrap,590
hesitant,0.9439653158187866,0.75,1,,2,73,39.45,cold,heuristic_bootstrap,394
enthusiastic,0.9596968293190002,0.75,3,,2,69,57.18,warm,heuristic_bootstrap,146
enthusiastic,0.9587841629981995,0.75,2,,2,55,53.23,warm,heuristic_bootstrap,190
frustrated,0.9558554887771606,0.75,2,,2,68,30.17,cold,heuristic_bootstrap,126
frustrated,0.9536522030830383,0.75,2,,2,65,30.0,cold,heuristic_bootstrap,657
hesitant,0.9367949366569519,0.75,3,,2,64,44.85,warm,heuristic_bootstrap,179
hesitant,0.9443883895874023,0.75,1,,2,60,38.58,cold,heuristic_bootstrap,362
frustrated,0.9343141913414001,0.75,3,,2,78,34.1,cold,heuristic_bootstrap,629
frustrated,0.9552114605903625,1.0,3,10000000.0,2,64,63.16,warm,heuristic_bootstrap,260
frustrated,0.9502503871917725,1.0,2,4500000.0,2,77,61.09,warm,heuristic_bootstrap,431
hesitant,0.9409831762313843,1.0,3,10000000.0,2,86,76.57,hot,heuristic_bootstrap,276
frustrated,0.9524893760681152,0.75,2,,2,75,30.68,cold,heuristic_bootstrap,356
enthusiastic,0.9610260725021362,0.75,2,,2,69,54.2,warm,heuristic_bootstrap,52
enthusiastic,0.9619531035423279,0.75,2,,2,73,54.47,warm,heuristic_bootstrap,289
enthusiastic,0.9594550728797913,1.0,2,8000000.0,2,84,85.43,hot,heuristic_bootstrap,319
hesitant,0.9423279166221619,0.75,3,,2,66,44.98,warm,heuristic_bootstrap,358
frustrated,0.933479368686676,0.75,2,,2,72,30.71,cold,heuristic_bootstrap,5
enthusiastic,0.9634227752685547,0.75,3,,2,73,57.49,warm,heuristic_bootstrap,38
frustrated,0.9523329734802246,1.0,2,8000000.0,2,64,60.2,warm,heuristic_bootstrap,370
enthusiastic,0.961925745010376,0.75,3,,2,72,57.41,warm,heuristic_bootstrap,603
frustrated,0.9347996711730957,0.75,3,,2,69,33.5,cold,heuristic_bootstrap,154
hesitant,0.9429119825363159,1.0,2,6500000.0,2,76,72.9,hot,heuristic_bootstrap,472
hesitant,0.9391781687736511,0.75,1,,2,69,39.18,cold,heuristic_bootstrap,344
hesitant,0.9382181167602539,1.0,3,6500000.0,2,64,75.1,hot,heuristic_bootstrap,538
enthusiastic,0.9625945091247559,1.0,1,6500000.0,2,73,81.73,hot,heuristic_bootstrap,203
frustrated,0.9354825615882874,1.0,2,5000000.0,2,66,60.54,warm,heuristic_bootstrap,424
enthusiastic,0.961525022983551,0.75,2,,2,71,54.34,warm,heuristic_bootstrap,123
frustrated,0.9532740116119385,0.75,2,,2,62,29.8,cold,heuristic_bootstrap,401
frustrated,0.9346770644187927,1.0,2,3000000.0,2,78,61.35,warm,heuristic_bootstrap,502
frustrated,0.9515208601951599,0.75,1,,2,63,26.89,cold,heuristic_bootstrap,663
hesitant,0.9485357999801636,0.75,2,,2,71,42.32,warm,heuristic_bootstrap,134
hesitant,0.948095440864563,0.75,3,,2,71,45.32,warm,heuristic_bootstrap,565
hesitant,0.9475395083427429,0.75,1,,2,63,38.78,cold,heuristic_bootstrap,268
enthusiastic,0.9627195000648499,0.75,3,,2,76,57.68,warm,heuristic_bootstrap,290
hesitant,0.9325981140136719,0.75,2,,2,64,41.85,warm,heuristic_bootstrap,299
enthusiastic,0.9618321061134338,0.75,2,,2,73,54.47,warm,heuristic_bootstrap,337
frustrated,0.9551228284835815,1.0,3,6500000.0,2,72,63.69,warm,heuristic_bootstrap,628
frustrated,0.9499092698097229,0.75,2,,2,66,30.11,cold,heuristic_bootstrap,578
hesitant,0.9380204677581787,0.75,3,,2,78,45.78,warm,heuristic_bootstrap,318
hesitant,0.9403905272483826,0.75,2,,2,66,41.98,warm,heuristic_bootstrap,21
frustrated,0.9545446634292603,0.75,3,,2,63,32.85,cold,heuristic_bootstrap,651
enthusiastic,0.9621592164039612,0.75,1,,2,64,50.88,warm,heuristic_bootstrap,602
hesitant,0.9396165609359741,1.0,2,6500000.0,2,82,73.3,hot,heuristic_bootstrap,127
frustrated,0.9470697641372681,0.75,2,,2,63,29.94,cold,heuristic_bootstrap,292
hesitant,0.947597861289978,0.75,1,,2,67,39.05,cold,heuristic_bootstrap,62
enthusiastic,0.9621854424476624,1.0,1,12000000.0,2,79,82.13,hot,heuristic_bootstrap,469
hesitant,0.936305046081543,0.75,2,,2,64,41.85,warm,heuristic_bootstrap,121
frustrated,0.9513527154922485,0.75,1,,2,72,27.49,cold,heuristic_bootstrap,346
hesitant,0.945357620716095,0.75,1,,2,72,39.38,cold,heuristic_bootstrap,511
enthusiastic,0.962433397769928,1.0,1,6500000.0,2,73,81.73,hot,heuristic_bootstrap,305
enthusiastic,0.9618077278137207,0.75,3,,2,72,57.41,warm,heuristic_bootstrap,36
frustrated,0.934292733669281,1.0,3,6500000.0,2,99,65.75,warm,heuristic_bootstrap,686
enthusiastic,0.9532097578048706,0.75,1,,2,61,50.57,warm,heuristic_bootstrap,42
hesitant,0.942977786064148,0.75,1,,2,70,39.25,cold,heuristic_bootstrap,261
hesitant,0.9450780153274536,1.0,2,10000000.0,2,68,72.37,hot,heuristic_bootstrap,400
enthusiastic,0.9568442702293396,0.75,3,,2,61,56.61,warm,heuristic_bootstrap,540
hesitant,0.934416651725769,1.0,2,12000000.0,2,76,72.9,hot,heuristic_bootstrap,532
frustrated,0.9534326195716858,0.75,1,,2,57,26.47,cold,heuristic_bootstrap,596
frustrated,0.9484055042266846,0.75,1,,2,76,27.79,cold,heuristic_bootstrap,245
enthusiastic,0.9630467295646667,0.75,3,,2,64,56.89,warm,heuristic_bootstrap,300
frustrated,0.9501957297325134,1.0,2,4500000.0,2,69,60.56,warm,heuristic_bootstrap,444
frustrated,0.9263052940368652,1.0,3,10000000.0,2,93,65.45,warm,heuristic_bootstrap,407
hesitant,0.9343531727790833,0.75,2,,2,64,41.85,warm,heuristic_bootstrap,161
enthusiastic,0.9583496451377869,0.75,1,,2,60,50.56,warm,heuristic_bootstrap,526
hesitant,0.9474075436592102,0.75,2,,2,68,42.12,warm,heuristic_bootstrap,601
enthusiastic,0.9629786610603333,1.0,3,10000000.0,2,68,87.4,hot,heuristic_bootstrap,278
enthusiastic,0.9635066986083984,0.75,3,,2,68,57.16,warm,heuristic_bootstrap,377
hesitant,0.9400833249092102,0.75,1,,2,71,39.32,cold,heuristic_bootstrap,639
frustrated,0.9257285594940186,1.0,2,12000000.0,2,89,62.2,warm,heuristic_bootstrap,30
enthusiastic,0.9627372622489929,0.75,2,,2,66,54.02,warm,heuristic_bootstrap,112
hesitant,0.9435418844223022,0.75,2,,2,67,42.05,warm,heuristic_bootstrap,152
hesitant,0.9365639090538025,1.0,2,5000000.0,2,71,72.57,hot,heuristic_bootstrap,461
frustrated,0.939418375492096,0.75,3,,2,64,33.11,cold,heuristic_bootstrap,80
frustrated,0.9497517347335815,1.0,1,6500000.0,2,73,57.83,warm,heuristic_bootstrap,250
hesitant,0.9463320374488831,0.75,3,,2,70,45.25,warm,heuristic_bootstrap,659
enthusiastic,0.9631204009056091,0.75,2,,2,71,54.36,warm,heuristic_bootstrap,339
frustrated,0.9353459477424622,0.75,2,,2,65,30.22,cold,heuristic_bootstrap,646
hesitant,0.9444596171379089,0.75,3,,2,71,45.32,warm,heuristic_bootstrap,422
hesitant,0.9382214546203613,0.75,1,,2,65,38.92,cold,heuristic_bootstrap,375
hesitant,0.9385902285575867,0.75,2,,2,57,41.38,warm,heuristic_bootstrap,357
frustrated,0.955049455165863,0.75,2,,2,64,29.91,cold,heuristic_bootstrap,457
hesitant,0.9452580809593201,0.75,3,,2,69,45.18,warm,heuristic_bootstrap,600
enthusiastic,0.9633834958076477,1.0,1,5000000.0,2,95,83.21,hot,heuristic_bootstrap,233
hesitant,0.9309893846511841,0.75,3,,2,68,45.12,warm,heuristic_bootstrap,423
hesitant,0.9380947947502136,1.0,3,5000000.0,2,87,76.63,hot,heuristic_bootstrap,490
frustrated,0.9481882452964783,0.75,2,,2,63,29.93,cold,heuristic_bootstrap,136
frustrated,0.9317700266838074,1.0,3,10000000.0,2,65,63.52,warm,heuristic_bootstrap,200
enthusiastic,0.9583572149276733,1.0,3,6500000.0,2,62,86.95,hot,heuristic_bootstrap,2
enthusiastic,0.9618057608604431,0.75,1,,2,76,51.67,warm,heuristic_bootstrap,195
enthusiastic,0.9559545516967773,0.75,1,,2,62,50.67,warm,heuristic_bootstrap,85
hesitant,0.9448833465576172,1.0,1,5000000.0,2,82,70.3,hot,heuristic_bootstrap,687
enthusiastic,0.9582964777946472,0.75,2,,2,64,53.83,warm,heuristic_bootstrap,529
enthusiastic,0.9565659761428833,1.0,2,8000000.0,2,62,83.92,hot,heuristic_bootstrap,500
hesitant,0.9442306160926819,0.75,2,,2,77,42.72,warm,heuristic_bootstrap,541
enthusiastic,0.9633734226226807,1.0,3,6500000.0,2,68,87.41,hot,heuristic_bootstrap,548
enthusiastic,0.9628773927688599,0.75,2,,2,62,53.75,warm,heuristic_bootstrap,534
hesitant,0.946131706237793,0.75,2,,2,72,42.38,warm,heuristic_bootstrap,86
frustrated,0.9544790387153625,0.75,2,,2,86,31.39,cold,heuristic_bootstrap,504
enthusiastic,0.962584912776947,0.75,3,,2,67,57.08,warm,heuristic_bootstrap,435
enthusiastic,0.9628762602806091,0.75,2,,2,80,54.95,warm,heuristic_bootstrap,386
hesitant,0.9406585693359375,0.75,2,,2,66,41.98,warm,heuristic_bootstrap,48
enthusiastic,0.9624345898628235,1.0,1,6500000.0,2,85,82.53,hot,heuristic_bootstrap,515
enthusiastic,0.9629213809967041,0.75,2,,2,67,54.09,warm,heuristic_bootstrap,429
enthusiastic,0.9581181406974792,1.0,2,5000000.0,2,62,83.94,hot,heuristic_bootstrap,499
frustrated,0.9334434270858765,1.0,2,10000000.0,2,83,61.7,warm,heuristic_bootstrap,334
frustrated,0.9385229349136353,0.75,2,,2,70,30.52,cold,heuristic_bootstrap,698
frustrated,0.9490712285041809,0.75,2,,2,71,30.45,cold,heuristic_bootstrap,654
enthusiastic,0.9573323130607605,0.75,3,,2,62,56.68,warm,heuristic_bootstrap,697
enthusiastic,0.9585803747177124,1.0,2,5000000.0,2,89,85.75,hot,heuristic_bootstrap,593
hesitant,0.9299936890602112,0.75,1,,2,61,38.65,cold,heuristic_bootstrap,564
enthusiastic,0.9589632749557495,1.0,1,12000000.0,2,85,82.49,hot,heuristic_bootstrap,488
enthusiastic,0.9573978781700134,0.75,3,,2,53,56.08,warm,heuristic_bootstrap,227
hesitant,0.9369415044784546,0.75,1,,2,70,39.25,cold,heuristic_bootstrap,39
frustrated,0.9505885243415833,0.75,1,,2,70,27.37,cold,heuristic_bootstrap,448
hesitant,0.9391028881072998,0.75,2,,2,59,41.52,warm,heuristic_bootstrap,524
frustrated,0.953016996383667,0.75,1,,2,70,27.34,cold,heuristic_bootstrap,237
enthusiastic,0.9588775634765625,1.0,2,5000000.0,2,83,85.35,hot,heuristic_bootstrap,503
hesitant,0.9429706931114197,1.0,3,8000000.0,2,70,75.5,hot,heuristic_bootstrap,586
frustrated,0.9358677864074707,0.75,3,,2,69,33.48,cold,heuristic_bootstrap,577
enthusiastic,0.9632912278175354,1.0,3,8000000.0,2,81,88.27,hot,heuristic_bootstrap,642
hesitant,0.9322119355201721,1.0,2,4500000.0,2,86,73.57,hot,heuristic_bootstrap,230
frustrated,0.9354220032691956,0.75,3,,2,63,33.09,cold,heuristic_bootstrap,609
hesitant,0.9483113884925842,0.75,1,,2,67,39.05,cold,heuristic_bootstrap,486
hesitant,0.9421241879463196,1.0,2,8000000.0,2,63,72.03,hot,heuristic_bootstrap,99
enthusiastic,0.9630852937698364,1.0,2,5000000.0,2,68,84.41,hot,heuristic_bootstrap,652
enthusiastic,0.9572499394416809,1.0,2,3000000.0,2,66,84.2,hot,heuristic_bootstrap,56
enthusiastic,0.9627352952957153,1.0,1,5000000.0,2,69,81.47,hot,heuristic_bootstrap,442
hesitant,0.9425499439239502,0.75,1,,2,64,38.85,cold,heuristic_bootstrap,410
hesitant,0.9478857517242432,0.75,2,,2,65,41.92,warm,heuristic_bootstrap,174
enthusiastic,0.9626314043998718,0.75,2,,2,69,54.22,warm,heuristic_bootstrap,373
enthusiastic,0.9622118473052979,0.75,3,,2,72,57.41,warm,heuristic_bootstrap,207
frustrated,0.9509166479110718,0.75,1,,2,65,27.03,cold,heuristic_bootstrap,32
frustrated,0.9556209444999695,1.0,3,10000000.0,2,90,64.89,warm,heuristic_bootstrap,51
hesitant,0.9386412501335144,1.0,2,8000000.0,2,76,72.9,hot,heuristic_bootstrap,331
frustrated,0.9475533366203308,0.75,3,,2,56,32.47,cold,heuristic_bootstrap,335
enthusiastic,0.9622735381126404,0.75,2,,2,79,54.88,warm,heuristic_bootstrap,664
hesitant,0.9404017925262451,1.0,2,6500000.0,2,67,72.3,hot,heuristic_bootstrap,681
frustrated,0.9557738304138184,1.0,2,6500000.0,2,72,60.69,warm,heuristic_bootstrap,632
enthusiastic,0.9634703993797302,1.0,2,8000000.0,2,100,86.54,hot,heuristic_bootstrap,443
enthusiastic,0.9588661789894104,0.75,3,,2,62,56.7,warm,heuristic_bootstrap,240
frustrated,0.9518563151359558,0.75,3,,2,63,32.89,cold,heuristic_bootstrap,211
hesitant,0.9441137909889221,0.75,2,,2,71,42.32,warm,heuristic_bootstrap,530
enthusiastic,0.9624337553977966,0.75,3,,2,71,57.35,warm,heuristic_bootstrap,182
enthusiastic,0.9531592726707458,1.0,1,5000000.0,2,63,80.95,hot,heuristic_bootstrap,665
enthusiastic,0.9639195203781128,0.75,2,,2,61,53.7,warm,heuristic_bootstrap,338
hesitant,0.9397428631782532,0.75,1,,2,67,39.05,cold,heuristic_bootstrap,50
enthusiastic,0.9622178077697754,0.75,2,,2,79,54.88,warm,heuristic_bootstrap,585
frustrated,0.9508670568466187,0.75,1,,2,72,27.5,cold,heuristic_bootstrap,98
enthusiastic,0.9626902937889099,0.75,3,,2,73,57.48,warm,heuristic_bootstrap,209
enthusiastic,0.954533576965332,0.75,2,,2,62,53.65,warm,heuristic_bootstrap,414
frustrated,0.9364316463470459,0.75,3,,2,63,33.08,cold,heuristic_bootstrap,492
frustrated,0.9448248147964478,0.75,3,,2,63,32.97,cold,heuristic_bootstrap,402
hesitant,0.9438195824623108,0.75,3,,2,68,45.12,warm,heuristic_bootstrap,125
frustrated,0.936235249042511,0.75,3,,2,69,33.48,cold,heuristic_bootstrap,243
frustrated,0.9514807462692261,0.75,1,,2,72,27.49,cold,heuristic_bootstrap,296
hesitant,0.9305076003074646,0.75,2,,2,63,41.78,warm,heuristic_bootstrap,293
frustrated,0.9550203084945679,0.75,2,,2,69,30.25,cold,heuristic_bootstrap,452
hesitant,0.9442570805549622,0.75,1,,2,64,38.85,cold,heuristic_bootstrap,479
enthusiastic,0.9591724872589111,0.75,3,,2,60,56.57,warm,heuristic_bootstrap,591
hesitant,0.949353814125061,0.75,1,,2,78,39.78,cold,heuristic_bootstrap,608
frustrated,0.9377518892288208,0.75,1,,2,66,27.26,cold,heuristic_bootstrap,618
frustrated,0.9497038722038269,1.0,2,3000000.0,2,88,61.83,warm,heuristic_bootstrap,110
enthusiastic,0.9626127481460571,1.0,2,4500000.0,2,96,86.27,hot,heuristic_bootstrap,249
frustrated,0.9390000700950623,0.75,3,,2,64,33.11,cold,heuristic_bootstrap,343
enthusiastic,0.9631055593490601,0.75,1,,2,59,50.56,warm,heuristic_bootstrap,598
enthusiastic,0.9624751210212708,0.75,3,,2,66,57.01,warm,heuristic_bootstrap,122
frustrated,0.9529473781585693,1.0,2,12000000.0,2,74,60.85,warm,heuristic_bootstrap,264
enthusiastic,0.9633985757827759,1.0,1,10000000.0,2,86,82.61,hot,heuristic_bootstrap,37
enthusiastic,0.9582707285881042,0.75,1,,2,61,50.63,warm,heuristic_bootstrap,533
hesitant,0.9280332922935486,1.0,3,3000000.0,2,67,75.3,hot,heuristic_bootstrap,441
hesitant,0.943003237247467,0.75,2,,2,68,42.12,warm,heuristic_bootstrap,17
frustrated,0.934909462928772,0.75,3,,2,59,32.83,cold,heuristic_bootstrap,464
hesitant,0.9363018274307251,1.0,3,5000000.0,2,84,76.43,hot,heuristic_bootstrap,35
frustrated,0.9548541903495789,0.75,1,,2,70,27.31,cold,heuristic_bootstrap,613
enthusiastic,0.9623464941978455,1.0,3,10000000.0,2,95,89.2,hot,heuristic_bootstrap,61
enthusiastic,0.9629938006401062,0.75,2,,2,67,54.09,warm,heuristic_bootstrap,73
enthusiastic,0.9584640860557556,0.75,2,,2,66,53.96,warm,heuristic_bootstrap,8
frustrated,0.9375821948051453,0.75,2,,2,63,30.06,cold,heuristic_bootstrap,675
enthusiastic,0.9626851081848145,0.75,1,,2,68,51.15,warm,heuristic_bootstrap,236
enthusiastic,0.9579833745956421,1.0,1,12000000.0,2,63,81.01,hot,heuristic_bootstrap,22
enthusiastic,0.9580839276313782,0.75,3,,2,54,56.16,warm,heuristic_bootstrap,347
frustrated,0.9394598603248596,0.75,2,,2,67,30.31,cold,heuristic_bootstrap,580
frustrated,0.9343568086624146,1.0,3,8000000.0,2,66,63.55,warm,heuristic_bootstrap,231
enthusiastic,0.9636969566345215,1.0,1,12000000.0,2,70,81.55,hot,heuristic_bootstrap,254
enthusiastic,0.9632331728935242,0.75,2,,2,72,54.42,warm,heuristic_bootstrap,124
frustrated,0.9531591534614563,0.75,3,,2,62,32.8,cold,heuristic_bootstrap,463
enthusiastic,0.9573083519935608,1.0,2,8000000.0,2,62,83.93,hot,heuristic_bootstrap,449
hesitant,0.9388659000396729,1.0,1,10000000.0,2,97,71.3,hot,heuristic_bootstrap,553
hesitant,0.9450141191482544,0.75,1,,2,68,39.12,cold,heuristic_bootstrap,647
enthusiastic,0.9632377028465271,0.75,2,,2,60,53.62,warm,heuristic_bootstrap,320
enthusiastic,0.9557213187217712,0.75,3,,2,61,56.6,warm,heuristic_bootstrap,206
enthusiastic,0.9625398516654968,0.75,2,,2,80,54.95,warm,heuristic_bootstrap,607
frustrated,0.9560045003890991,0.75,2,,2,74,30.57,cold,heuristic_bootstrap,434
enthusiastic,0.9631051421165466,0.75,3,,2,72,57.42,warm,heuristic_bootstrap,599
frustrated,0.9538938999176025,0.75,3,,2,68,33.19,cold,heuristic_bootstrap,170
enthusiastic,0.9627007842063904,1.0,2,4500000.0,2,73,84.73,hot,heuristic_bootstrap,487
frustrated,0.9375625252723694,0.75,1,,2,64,27.13,cold,heuristic_bootstrap,132
enthusiastic,0.9630938172340393,1.0,3,4500000.0,2,92,89.01,hot,heuristic_bootstrap,129
enthusiastic,0.9621785283088684,0.75,2,,2,79,54.88,warm,heuristic_bootstrap,71
enthusiastic,0.954371988773346,0.75,1,,2,66,50.91,warm,heuristic_bootstrap,498
frustrated,0.9519743919372559,0.75,1,,2,70,27.35,cold,heuristic_bootstrap,88
hesitant,0.939934253692627,1.0,3,12000000.0,2,89,76.77,hot,heuristic_bootstrap,650
enthusiastic,0.9538220167160034,0.75,1,,2,67,50.97,warm,heuristic_bootstrap,247
frustrated,0.9534360766410828,1.0,3,5000000.0,2,101,65.65,warm,heuristic_bootstrap,60
enthusiastic,0.9630122184753418,0.75,2,,2,75,54.62,warm,heuristic_bootstrap,246
hesitant,0.944904625415802,0.75,2,,2,66,41.98,warm,heuristic_bootstrap,315
enthusiastic,0.9624191522598267,1.0,1,8000000.0,2,73,81.73,hot,heuristic_bootstrap,372
hesitant,0.9495317935943604,1.0,3,6500000.0,2,71,75.57,hot,heuristic_bootstrap,568
hesitant,0.9441666603088379,0.75,3,,2,59,44.52,warm,heuristic_bootstrap,20
frustrated,0.9549306035041809,1.0,1,6500000.0,2,95,59.23,warm,heuristic_bootstrap,501
frustrated,0.9551710486412048,0.75,2,,2,68,30.18,cold,heuristic_bootstrap,332
hesitant,0.943982720375061,0.75,2,,2,74,42.52,warm,heuristic_bootstrap,1
hesitant,0.9437012076377869,0.75,3,,2,79,45.85,warm,heuristic_bootstrap,544
enthusiastic,0.953400731086731,0.75,1,,2,62,50.63,warm,heuristic_bootstrap,166
enthusiastic,0.9618245959281921,0.75,3,,2,71,57.34,warm,heuristic_bootstrap,383
frustrated,0.9335537552833557,1.0,2,6500000.0,2,66,60.56,warm,heuristic_bootstrap,583
hesitant,0.9481750726699829,0.75,2,,2,78,42.78,warm,heuristic_bootstrap,679
hesitant,0.945425808429718,1.0,1,3000000.0,2,91,70.9,hot,heuristic_bootstrap,677
enthusiastic,0.9620612263679504,1.0,1,3000000.0,2,72,81.66,hot,heuristic_bootstrap,306
enthusiastic,0.9631285667419434,1.0,2,4500000.0,2,74,84.81,hot,heuristic_bootstrap,109
enthusiastic,0.9611121416091919,0.75,2,,2,78,54.8,warm,heuristic_bootstrap,520
hesitant,0.9490804672241211,1.0,3,5000000.0,2,71,75.57,hot,heuristic_bootstrap,183
